"Name","Phone","Email","Website","Address","Instagram","Facebook","Twitter","Linkedin","Yelp","Youtube","PlaceID","CID","Category","ReviewCount","AverageRating","Latitude","Longitude"
"Consultório Odontológico Dra Taísa Coutinho - Aparelhos Dentais, Tratamento Canal, Atendimento Infantil, Extrações","(47) 99974-1162","","http://www.taisacoutinhodonto.com.br/","R. Pedro Cristiano de Miranda, 1080 - sala 01 - São Vicente,Itajaí - SC,88309-431","","","","","","","ChIJ6SiUWmzN2JQR85YAIRzcIt4","-2440146034710505741","Dentista;Ortodontista","43","5","-26.9076632","-48.6951542"
"Dra Izabella Valente Neves - Consultório Odontológico","(47) 99197-0022","falecom@draizabella.com.br","https://www.draizabella.com.br/","Av. Cel. Marcos Konder, 1313 - Sala 807 - Centro,Itajaí - SC,88301-303","https://www.instagram.com/draizabellaneves","https://www.facebook.com/draizabella,https://www.facebook.com/people","","","","","ChIJ47IGkcPN2JQR1ZLI_K2kLPg","-563894786150853931","Dentista","40","5","-26.912729","-48.6589567"
"Rivière Clínica Odontológica","(47) 98468-0962","","http://riviereodontologia.com.br/","Rua Doutor Nereu Ramos, 197, 8 andar, sala 806,R. Dr. Nereu Ramos, 197 - 8 andar, 806 - Centro,Itajaí - SC,88301-215","","","","","","","ChIJyyZ-BcLN2JQRrGW8ynuHWOk","-1632405899169733204","Periodontia e implantes dentários;Clínica de implante dentário;Dentista;Cirurgião dentista;Ortodontista","401","5","-26.9097866","-48.6600767"
"Via Dental Clínica Odontológica","(47) 3348-7171","","http://www.viadentalclinica.com.br/","Avenida Coronel Marcos Konder, 1313 - salas 602 e 604,Centro,Itajaí - SC,88301-303","https://www.instagram.com/clinicaviadental","https://www.facebook.com/clinicaviadental","","","","","ChIJw1yR-HLM2JQRVCGP7zyGscs","-3769083816857099948","Clínica odontológica;Dentista","20","5","-26.9127671","-48.6589434"
"Dentelli Itajaí","(47) 2125-1327","contato@dentelli.com.br","https://dentelli.com.br/","R. Dr. Nereu Ramos, 67 - Centro,Itajaí - SC,88301-215","https://www.instagram.com/dentelli.odontologia","https://www.facebook.com/dentelli.odontologia","","","","","ChIJXxwgBvfN2JQRTJvDZCBLicg","-3996580591813026996","Dentista","455","5","-26.9090346","-48.6590778"
"Lumière Odontologia | Dentista Itajaí | Implante Dentário Itajaí","(47) 99293-0025","clinica@lumiereodonto.com.br","http://lumiereodonto.com.br/","Marcos Konder · 1207 · sala 25,Centro,Itajaí - SC,88301-303","https://www.instagram.com/lumiere.odonto","https://www.facebook.com/lumiere.odonto","","","","","ChIJ3e7REbrN2JQR8Ygt1awfFJo","-7344210265163069199","Clínica odontológica;Clínica de implante dentário;Dentista;Serviço de clareamento dental","115","5","-26.9115041","-48.6593715"
"Dra Eulecia Casagrande Odontologia","(47) 98905-7058","","http://euleciacasagrande.com/","R. Lauro Muller, 1114 - Fazenda,Itajaí - SC,88301-401","","","","","","","ChIJ2-IsUInL2JQR8JCznlStWos","-8405215175582183184","Clínica odontológica","17","4.9","-26.9150735","-48.6540247"
"KeLin Odontologia","(47) 99261-4857","contato@kelinodontologia.com.br","https://kelinodontologia.com.br/","R. Estefano José Vanolli, 878 - São Vicente,Itajaí - SC,88309-200","https://www.instagram.com/kelinodontologia","https://www.facebook.com/draingridkely","","https://www.linkedin.com/company/kelin-odontologia,https://www.linkedin.com/in/xandemotta,https://www.linkedin.com/company/setup,https://www.linkedin.com/company/seren-app,https://www.linkedin.com/company/tramparnagringa,https://www.linkedin.com/company/porto,https://www.linkedin.com/company/ciandt","","","ChIJk7dLU7fN2JQRjkKa2cQM7tg","-2815298677456092530","Clínica odontológica;Periodontia e implantes dentários;Clínica de implante dentário;Dentista;Endodontista;Cirurgião dentista;Ortodontista","142","5","-26.9018685","-48.6888158"
"Dra Isabella Lima","(47) 99224-2826","","https://instagram.com/dra.isabellalima?igshid=MzRlODBiNWFlZA==","Av. Cel. Marcos Konder, 805 - Sala 1002 - Centro,Itajaí - SC,88301-303","https://www.instagram.com/rsrc.php,https://www.instagram.com/dra.isabellalima,https://www.instagram.com/_u,https://www.instagram.com/rsrc","","","","","","ChIJ2zP-gALN2JQRcS1bXAj0yIw","-8302117596311114383","Clínica odontológica","10","5","-26.909463799999997","-48.660233399999996"
"Dra. Kátia Savelli Gomes (Odontologia)","(47) 98893-0318","","","R. Dr. Pedro Rangel, 154 - Sala 08 - São João,Itajaí - SC,88304-430","","","","","","","ChIJt19Mvc7N2JQRu5D443hUS04","5641695836409204923","Cirurgião dentista;Ortodontista;Odontopediatra","2","5","-26.900495199999998","-48.6796466"
"Consultório União Itajaí (São Vicente)","(47) 3363-7574","laura@gmail.com","http://www.clinicasuniao.com.br/","R. Estefano José Vanolli, 1305 - São Vicente,Itajaí - SC,88309-202","","","","","","","ChIJV1COWY3M2JQRoELdHH6cvf8","-18686757975539040","Clínica odontológica","85","4.9","-26.9060623","-48.6886726"
"Oral Vita Especialidades Odontológicas","(47) 2125-0265","","https://www.facebook.com/oralvitaitajai","R. Heitor Liberato, 1561 - sala 1 - São João,Itajaí - SC,88304-100","","https://www.facebook.com/oralvitaitajai","","","","","ChIJXSWt6_bN2JQRf7P_uH9DvKI","-6720422328099949697","Dentista;Clínica de implante dentário;Cirurgião dentista;Endodontista;Ortodontista","22","4.9","-26.907432099999998","-48.6745308"
